cow_id,rfid_tag,breed,date_of_birth,acquisition_date,farm_code,region,health_status,feed_program,weight_kg,lactation_number,avg_daily_yield_liters,is_pregnant,vaccination_status,last_vet_check,milk_fat_pct,milk_protein_pct,somatic_cell_count,is_active,notes
1900549,RF922968202,Milking Shorthorn,2019-09-15,2024-12-09,FARM-038,Central Java,Fair,Pasture-Fed,479.5,2,14.83,No,Partial,2024-03-09,4.75,3.18,384232,Yes,Excellent genetics
6422534,RF582543215,Holstein,2016-04-17,2019-03-12,FARM-011,North Sumatra,Under Treatment,Standard Mix,483.6,2,35.41,No,Up-to-date,2024-10-22,5.67,3.54,467654,Yes,Monitor closely
3997703,RF499067203,Jersey,2021-01-26,2023-05-16,FARM-024,West Java,Good,Premium Silage,471.8,1,20.1,No,Overdue,2023-08-07,4.41,3.91,293949,Yes,Recovering
9863176,RF966967595,Holstein,2015-03-07,2019-01-17,FARM-005,East Java,Good,Hay-Based,514.4,1,20.64,No,Overdue,2023-07-22,3.71,3.92,572873,Yes,High performer
9535505,RF718919629,Holstein,2016-09-21,2017-11-19,FARM-002,Central Java,Good,Concentrate Rich,602.2,1,25.72,No,Partial,2023-10-19,3.54,4.15,88805,No,Excellent genetics
3768343,RF876587717,Guernsey,2012-06-09,2014-10-27,FARM-020,Central Java,Fair,Standard Mix,490.8,1,27.44,No,Up-to-date,2024-09-19,3.32,3.22,526663,Yes,Low yield alert
8126489,RF111162649,Holstein,2013-05-12,2018-07-31,FARM-009,West Java,Good,Hay-Based,553.4,3,29.54,No,Up-to-date,2023-07-15,5.08,3.94,613670,No,Low yield alert
3211291,RF180575920,Holstein,2021-09-25,2022-05-16,FARM-017,Central Java,Good,Concentrate Rich,643.3,4,37.3,Yes,Up-to-date,2023-05-22,4.72,2.97,384844,Yes,Excellent genetics
5767195,RF666494300,Normande,2021-12-15,2024-10-30,FARM-016,East Java,Good,Pasture-Fed,440.1,2,17.59,No,Overdue,2023-08-20,3.44,3.87,795937,Yes,Excellent genetics
3407905,RF631078882,Guernsey,2021-05-15,2023-03-22,FARM-004,West Java,Good,Standard Mix,453.3,4,20.55,No,Up-to-date,2023-12-15,3.74,3.63,603275,Yes,High performer
