session_id,cow_id,farm_code,milking_date,milking_timestamp,shift,yield_liters,fat_percentage,protein_percentage,somatic_cell_count,temperature_celsius,machine_id,operator_id,quality_grade,lactose_percentage,conductivity_ms_cm,flow_rate_lpm,milking_duration_min,ph_level,is_flagged
763797374,7788546,FARM-007,2023-08-04,2023-08-04 19:23:26,Morning,14.85,3.84,3.07,653851,38.5,MCH-18,1138,Grade B,4.26,5.76,1.36,11.4,6.76,No
825874171,1764354,FARM-016,2020-07-23,2020-07-23 02:34:36,Afternoon,12.19,4.51,3.1,786908,38.6,MCH-27,1065,Grade A,5.01,6.74,0.6,14.5,6.45,No
864512475,5696516,FARM-022,2021-03-01,2021-03-01 01:14:55,Morning,12.59,4.49,4.23,668576,38.1,MCH-14,1007,Grade B,4.22,6.56,0.98,6.0,6.79,No
140054714,1762308,FARM-003,2023-04-19,2023-04-19 16:41:45,Evening,7.68,5.14,3.43,287256,38.0,MCH-17,1134,Grade A,4.02,7.25,2.21,4.5,6.77,No
488229520,7342088,FARM-036,2020-07-17,2020-07-17 14:15:10,Evening,11.08,3.33,3.78,896302,39.4,MCH-17,1112,Grade A,4.91,6.89,2.13,14.2,6.78,No
833655272,2605579,FARM-023,2024-05-20,2024-05-20 23:27:03,Afternoon,8.66,4.18,4.23,581264,38.9,MCH-18,1050,Grade A,5.05,6.79,0.87,10.6,6.72,No
918399497,2895884,FARM-026,2024-04-23,2024-04-23 02:29:16,Evening,18.86,3.53,3.95,526413,38.2,MCH-11,1131,Grade A,4.53,4.11,3.32,8.5,6.83,No
505268837,4718604,FARM-002,2024-02-15,2024-02-15 03:49:28,Morning,12.69,3.77,2.96,277740,38.2,MCH-26,1107,Grade C,4.53,7.16,1.79,13.7,6.62,No
483559191,2384399,FARM-009,2021-09-18,2021-09-18 00:58:13,Afternoon,10.41,3.84,3.98,783592,38.6,MCH-21,1078,Grade A,4.82,8.11,1.99,7.8,6.82,No
562620362,3225104,FARM-027,2020-08-27,2020-08-27 09:46:49,Morning,13.07,3.98,3.93,182353,38.4,MCH-23,1121,Grade A,4.72,7.63,2.82,9.3,6.67,No
776169049,5047823,FARM-020,2020-07-31,2020-07-31 08:34:47,Morning,13.67,3.15,3.52,358863,39.5,MCH-19,1026,Grade B,4.02,6.82,3.17,9.5,6.73,No
254374716,9322001,FARM-014,2024-09-17,2024-09-17 23:52:35,Morning,15.26,5.45,3.8,632681,38.0,MCH-14,1074,Grade B,4.06,6.37,2.69,6.2,6.61,No
916897810,2949135,FARM-004,2021-09-10,2021-09-10 20:42:49,Morning,17.26,3.44,3.08,323325,39.2,MCH-15,1137,Grade A,4.58,4.3,1.34,12.5,6.63,No
194708714,6166549,FARM-023,2022-02-22,2022-02-22 23:08:16,Afternoon,2.66,4.23,4.34,57276,38.2,MCH-17,1106,Grade A,4.45,8.4,1.55,6.3,6.88,No
441136493,7078935,FARM-029,2024-10-14,2024-10-14 00:39:01,Morning,10.2,5.83,3.18,685157,38.8,MCH-11,1065,Grade A,5.19,7.42,2.24,8.4,6.58,No
422497534,8244760,FARM-035,2023-11-26,2023-11-26 07:17:31,Evening,11.62,3.85,4.33,600262,38.9,MCH-21,1090,Grade A,5.1,8.06,1.51,13.8,6.55,No
683431269,4983320,FARM-004,2020-11-11,2020-11-11 06:05:04,Morning,14.44,4.86,3.74,165612,38.9,MCH-16,1087,Grade A,4.89,4.5,3.47,7.0,6.8,No
766157635,8065560,FARM-019,2023-04-24,2023-04-24 09:39:25,Morning,11.41,3.93,3.63,333211,38.6,MCH-21,1010,Grade B,4.75,7.63,2.22,11.3,6.84,No
463747018,9118235,FARM-022,2022-10-16,2022-10-16 16:00:05,Afternoon,9.47,5.15,3.55,40772,38.8,MCH-24,1115,Grade A,4.1,6.8,2.21,9.6,6.73,No
740008550,9221149,FARM-019,2021-08-20,2021-08-20 22:17:46,Morning,13.43,3.56,3.75,396406,38.8,MCH-23,1135,Grade A,4.87,8.49,1.73,6.0,6.49,No
531673160,2000926,FARM-033,2021-12-14,2021-12-14 04:49:06,Afternoon,12.04,5.92,3.68,857833,38.7,MCH-12,1032,Grade A,4.5,8.45,1.46,7.4,6.87,No
181627912,5856797,FARM-005,2020-07-24,2020-07-24 08:38:20,Morning,12.57,4.06,3.74,830488,38.2,MCH-18,1112,Grade B,4.9,6.47,2.93,6.5,6.69,No
975153767,2240032,FARM-027,2023-12-18,2023-12-18 04:41:23,Evening,16.29,5.8,3.73,590113,38.3,MCH-05,1048,Grade C,5.11,7.25,0.72,6.8,6.67,No
646348963,1443874,FARM-016,2024-05-14,2024-05-14 04:51:47,Morning,11.15,5.27,3.3,350374,39.5,MCH-25,1005,Grade B,4.73,8.14,1.71,13.9,6.73,No
625806910,1488419,FARM-017,2021-01-19,2021-01-19 10:23:23,Morning,13.49,4.7,3.17,864156,38.2,MCH-26,1036,Grade A,4.13,4.51,3.02,14.8,6.42,No
567274401,9232419,FARM-012,2021-12-01,2021-12-01 22:56:54,Evening,8.23,3.42,2.81,126490,38.8,MCH-18,1052,Grade A,4.36,5.99,1.51,7.7,6.84,No
883812151,3469861,FARM-032,2020-08-01,2020-08-01 11:47:43,Morning,10.67,5.88,3.74,824269,38.5,MCH-18,1079,Rejected,5.19,5.88,2.33,3.4,6.55,No
715690298,1550371,FARM-016,2020-02-28,2020-02-28 09:52:09,Morning,17.24,5.94,3.0,883979,38.5,MCH-06,1047,Grade A,4.88,7.54,2.7,14.9,6.46,No
908382647,6861864,FARM-019,2024-01-10,2024-01-10 17:03:19,Afternoon,11.71,4.72,3.88,329953,39.5,MCH-26,1137,Grade B,5.05,8.13,1.84,4.9,6.85,No
459963999,9846825,FARM-038,2020-06-12,2020-06-12 07:33:02,Morning,18.43,3.19,4.03,772752,38.3,MCH-09,1063,Grade B,4.11,8.4,0.58,13.9,6.55,Yes
590084426,1521194,FARM-010,2021-07-25,2021-07-25 11:10:29,Evening,7.66,3.35,4.17,603881,38.9,MCH-11,1115,Grade A,4.24,4.16,1.4,9.7,6.68,No
258369345,1630249,FARM-026,2022-01-11,2022-01-11 22:55:42,Evening,9.91,4.23,3.32,521936,38.7,MCH-08,1037,Grade B,4.08,7.39,2.73,13.8,6.59,No
623169118,1297459,FARM-021,2024-04-26,2024-04-26 09:59:10,Afternoon,5.62,5.88,2.59,549760,38.8,MCH-01,1044,Grade B,4.59,6.39,1.94,12.6,6.71,No
771740121,9978938,FARM-018,2023-06-07,2023-06-07 04:30:23,Morning,18.24,3.11,2.77,750529,38.1,MCH-30,1055,Grade A,4.02,6.92,3.24,13.5,6.54,No
679302931,7363132,FARM-017,2021-08-03,2021-08-03 08:25:47,Afternoon,11.82,5.56,2.96,320610,38.5,MCH-07,1051,Grade B,4.19,6.45,1.47,3.2,6.51,No
998648715,1890880,FARM-018,2021-02-17,2021-02-17 20:22:36,Morning,10.81,4.36,2.64,608809,38.5,MCH-03,1032,Grade C,5.0,7.62,2.87,13.9,6.55,No
211585864,8879681,FARM-025,2020-03-11,2020-03-11 00:28:54,Morning,13.87,4.93,3.16,146309,39.4,MCH-10,1038,Grade A,5.1,6.67,2.52,10.0,6.83,No
380473565,4303426,FARM-002,2022-03-30,2022-03-30 19:21:24,Afternoon,12.44,3.74,3.52,744042,38.0,MCH-19,1126,Grade A,4.86,5.08,2.69,14.6,6.51,No
233093988,6278208,FARM-003,2020-02-29,2020-02-29 21:02:11,Morning,14.71,5.96,3.14,723393,38.7,MCH-27,1071,Grade A,4.21,8.1,1.3,13.8,6.48,No
838492662,7739458,FARM-005,2023-05-08,2023-05-08 19:28:14,Evening,15.37,3.87,3.4,684093,38.4,MCH-05,1110,Grade A,4.85,5.27,1.68,8.2,6.87,No
374501457,3317319,FARM-033,2024-11-21,2024-11-21 23:20:06,Morning,15.62,3.62,4.3,167202,39.4,MCH-21,1110,Grade A,5.18,6.36,2.66,13.6,6.63,No
700103833,7244360,FARM-020,2024-09-19,2024-09-19 01:54:05,Evening,12.42,3.65,3.13,793584,38.3,MCH-10,1033,Grade A,5.02,5.39,1.3,13.2,6.72,No
265887296,3903560,FARM-031,2022-09-30,2022-09-30 19:26:29,Afternoon,13.97,5.05,4.35,891028,38.4,MCH-16,1109,Grade B,4.52,4.71,2.37,11.0,6.42,No
835707604,2818634,FARM-003,2021-09-05,2021-09-05 18:55:16,Evening,8.64,5.86,4.03,375447,39.1,MCH-14,1060,Grade A,4.76,6.31,3.04,14.3,6.48,No
347467052,6310988,FARM-036,2021-05-05,2021-05-05 19:42:14,Afternoon,6.66,5.04,4.13,742610,38.5,MCH-15,1094,Grade B,4.4,6.21,1.59,8.6,6.58,No
605588786,3095116,FARM-034,2022-05-14,2022-05-14 19:37:45,Morning,14.13,4.15,4.15,226675,38.0,MCH-19,1026,Grade A,5.0,7.8,2.97,5.0,6.85,No
364829060,7342158,FARM-005,2023-06-08,2023-06-08 09:41:36,Afternoon,13.9,4.68,3.77,603551,38.2,MCH-04,1112,Grade A,4.62,5.52,1.39,6.9,6.42,No
540181484,9675855,FARM-032,2022-07-13,2022-07-13 21:00:31,Afternoon,12.0,3.95,3.31,252199,38.9,MCH-07,1024,Grade B,4.72,5.33,2.32,14.5,6.81,Yes
719685430,7245392,FARM-026,2023-04-17,2023-04-17 08:04:05,Afternoon,12.97,5.05,4.38,261051,38.7,MCH-07,1028,Grade A,5.0,6.79,1.11,8.2,6.81,No
601264623,1155665,FARM-032,2020-12-01,2020-12-01 02:14:06,Evening,13.55,3.96,4.1,405975,39.3,MCH-08,1051,Grade A,5.15,6.15,0.6,8.8,6.41,No
342590595,5887570,FARM-009,2024-02-07,2024-02-07 10:25:53,Morning,10.59,3.72,4.15,506308,39.4,MCH-07,1071,Grade C,4.71,6.06,1.5,8.0,6.8,No
