batch_id,recipe_id,vat_id,production_date,start_timestamp,end_timestamp,milk_volume_liters,cheese_yield_kg,fat_pct_actual,moisture_pct_actual,ph_at_drain,temperature_curd_c,pressing_pressure_kpa,salt_added_kg,starter_culture_ml,rennet_ml,aging_room,qc_result,operator_id,batch_notes
725520103,711680,VAT-06,2024-09-09,2024-09-09 21:56:27,2024-09-09 00:36:25,4862.3,501.67,30.59,21.59,6.2,29.0,123.5,10.43,356.4,134.1,AGE-10,Rework,2040,Normal batch
667919927,559618,VAT-02,2021-07-24,2021-07-24 20:38:15,2021-07-25 06:21:54,5310.0,562.47,38.36,42.2,6.2,54.7,44.5,3.68,117.6,46.09,AGE-09,Pass,2056,Slight over-acidification
799757252,654852,VAT-10,2024-04-19,2024-04-19 12:00:57,2024-04-19 16:12:52,5718.5,461.32,14.66,23.19,4.87,40.0,17.1,13.16,1796.0,81.77,AGE-05,Pass,2056,Slight over-acidification
767746416,422405,VAT-20,2021-04-23,2021-04-23 15:21:41,2021-04-24 01:54:51,7886.9,1116.09,17.76,66.34,5.42,33.9,177.1,12.07,288.5,78.08,AGE-10,Conditional Pass,2053,Slight over-acidification
713639532,779785,VAT-18,2024-08-24,2024-08-24 01:33:59,2024-08-24 15:12:36,7799.5,1132.95,26.8,54.65,6.5,40.3,127.5,0.76,964.8,143.08,AGE-07,Pass,2025,Normal batch
521517816,286223,VAT-13,2023-07-10,2023-07-10 06:38:56,2023-07-11 12:15:46,4852.7,568.28,34.93,62.41,6.33,28.4,72.6,10.64,1242.0,108.39,AGE-08,Pass,2070,Excellent coagulation
904225189,962576,VAT-11,2024-03-11,2024-03-11 21:34:01,2024-03-11 00:30:33,6527.6,964.3,24.4,57.94,6.33,50.9,82.1,10.98,1095.9,127.49,AGE-09,Pass,2045,Yield below target
178905544,447506,VAT-16,2020-02-24,2020-02-24 16:25:09,2020-02-25 03:50:36,2335.1,328.57,44.36,52.89,5.54,39.3,173.2,11.39,1352.3,72.17,AGE-10,Pass,2050,Excellent coagulation
118446712,622612,VAT-17,2020-09-28,2020-09-28 03:12:46,2020-09-28 13:43:38,3297.7,310.93,11.58,41.79,5.75,51.4,22.4,1.26,1264.6,111.03,AGE-09,Pass,2038,Rework needed
363511717,759317,VAT-01,2023-12-16,2023-12-16 21:01:42,2023-12-17 01:32:43,6219.5,1126.96,15.98,55.18,5.95,54.4,187.6,13.29,1306.1,90.21,AGE-07,Pass,2040,Rework needed
153738891,464409,VAT-15,2022-04-05,2022-04-05 09:12:52,2022-04-05 19:27:51,3626.2,537.68,14.01,43.25,5.42,49.1,151.5,2.64,292.3,89.94,AGE-04,Pass,2076,Texture perfect
182845568,452122,VAT-09,2021-07-01,2021-07-01 02:07:15,2021-07-02 13:53:00,3605.6,425.66,41.39,58.67,5.57,41.6,155.5,8.58,1911.5,45.04,AGE-05,Pass,2059,Normal batch
455678412,799771,VAT-12,2021-07-13,2021-07-13 01:41:04,2021-07-14 09:53:46,4510.3,487.73,37.84,59.17,5.91,41.7,12.6,8.59,1033.2,8.61,AGE-01,Pass,2071,Excellent coagulation
879803976,487965,VAT-19,2023-09-04,2023-09-04 11:49:18,2023-09-05 18:41:42,6555.3,1142.55,37.72,42.14,4.97,53.5,120.9,14.71,804.3,18.27,AGE-09,Pass,2010,Texture perfect
322715078,239646,VAT-08,2022-10-28,2022-10-28 05:07:56,2022-10-28 01:16:46,2120.6,298.55,33.97,31.54,5.66,33.7,102.8,6.64,1253.3,95.72,AGE-05,Conditional Pass,2013,Yield below target
330754745,578080,VAT-14,2021-08-15,2021-08-15 13:57:34,2021-08-16 22:58:15,3233.5,447.15,32.91,38.47,5.05,44.9,76.5,0.77,604.1,53.43,AGE-05,Pass,2043,pH deviation
186708187,653858,VAT-16,2021-02-19,2021-02-19 14:35:27,2021-02-19 09:19:32,5001.1,981.7,24.89,38.25,6.23,53.4,111.4,0.88,986.1,26.09,AGE-01,Pass,2023,Premium grade
855213237,192038,VAT-10,2022-02-21,2022-02-21 19:34:36,2022-02-21 18:41:09,4367.5,665.33,17.59,40.36,5.32,34.9,122.9,1.17,900.1,24.15,AGE-09,Pass,2042,Rework needed
742134528,341545,VAT-07,2020-07-31,2020-07-31 21:13:37,2020-08-01 10:49:02,3914.0,414.35,41.95,40.8,4.81,29.9,167.0,5.29,1842.2,59.42,AGE-05,Conditional Pass,2066,Excellent coagulation
544099455,613417,VAT-03,2023-09-02,2023-09-02 03:59:27,2023-09-03 01:16:41,5194.4,427.16,44.71,54.61,4.86,48.0,88.4,9.15,861.6,30.84,AGE-04,Pass,2046,Slight over-acidification
746923017,417323,VAT-13,2020-12-20,2020-12-20 01:53:21,2020-12-21 07:38:32,5757.2,598.05,36.4,35.68,5.97,40.3,29.5,1.78,1403.9,126.71,AGE-08,Pass,2035,Texture perfect
406410072,477231,VAT-16,2020-11-23,2020-11-23 16:27:23,2020-11-23 09:32:12,4234.1,764.44,15.24,34.37,5.96,33.6,72.4,1.47,1528.8,67.82,AGE-02,Pass,2054,pH deviation
488904525,493617,VAT-08,2021-06-28,2021-06-28 14:18:21,2021-06-29 20:25:24,4294.1,402.76,20.37,20.61,5.01,34.5,110.1,11.41,286.9,8.89,AGE-06,Pass,2064,Normal batch
655898233,205365,VAT-18,2023-11-22,2023-11-22 22:06:55,2023-11-22 02:51:15,6475.5,1001.47,41.21,24.25,5.64,37.7,26.9,12.21,1155.7,22.89,AGE-10,Fail,2054,pH deviation
873295042,878648,VAT-10,2022-03-26,2022-03-26 03:31:45,2022-03-27 08:17:34,6501.7,1137.82,17.81,20.89,5.04,52.9,49.7,14.5,1930.1,79.91,AGE-07,Pass,2034,Normal batch
875208364,137275,VAT-18,2023-02-08,2023-02-08 02:56:49,2023-02-08 20:34:04,6710.9,741.33,19.05,63.91,5.92,30.8,27.7,10.37,1838.6,36.26,AGE-03,Pass,2049,Texture perfect
778974246,107068,VAT-08,2024-08-21,2024-08-21 13:47:13,2024-08-21 10:19:52,5812.0,478.22,41.05,27.58,6.2,41.3,118.6,9.93,1015.7,56.71,AGE-01,Pass,2053,Slight over-acidification
441758598,571453,VAT-14,2021-06-01,2021-06-01 08:10:27,2021-06-02 22:10:02,4444.4,660.43,16.04,67.65,5.09,33.4,167.9,3.84,333.2,51.3,AGE-08,Pass,2022,Premium grade
451026217,747067,VAT-09,2024-11-23,2024-11-23 13:47:52,2024-11-24 16:37:49,5389.5,596.0,20.56,73.98,5.59,54.5,158.6,11.53,1561.5,35.32,AGE-10,Rework,2011,Excellent coagulation
937028296,222779,VAT-08,2021-02-08,2021-02-08 03:11:55,2021-02-09 16:21:02,4711.7,482.33,13.45,63.7,6.54,49.0,137.0,14.9,205.2,112.56,AGE-02,Conditional Pass,2044,pH deviation
538130195,162880,VAT-01,2023-03-09,2023-03-09 22:50:05,2023-03-10 01:40:41,4944.3,514.38,12.19,34.49,5.05,31.5,165.2,10.79,619.9,65.68,AGE-06,Pass,2004,Normal batch
554804545,534591,VAT-09,2022-05-19,2022-05-19 14:12:41,2022-05-19 04:40:24,3570.0,434.37,43.47,36.86,5.35,43.0,92.9,5.76,1878.5,133.57,AGE-08,Pass,2032,Yield below target
116303062,800317,VAT-13,2023-06-15,2023-06-15 03:41:47,2023-06-16 11:33:04,6274.9,914.65,23.17,42.43,5.26,39.9,14.9,10.16,1657.6,85.1,AGE-09,Conditional Pass,2052,Premium grade
812604801,833603,VAT-04,2020-12-11,2020-12-11 02:20:04,2020-12-11 10:03:14,4309.4,520.45,24.33,27.42,5.52,54.5,71.5,11.26,338.6,31.99,AGE-09,Pass,2035,Yield below target
876780825,336963,VAT-06,2024-10-18,2024-10-18 15:29:39,2024-10-18 17:02:48,4763.9,426.31,19.21,57.11,5.62,50.7,15.2,13.08,1288.2,92.76,AGE-08,Pass,2075,Slight over-acidification
