movement_id,product_id,warehouse_code,movement_date,movement_timestamp,movement_type,quantity_units,unit_cost_idr,total_value_idr,lot_number,expiry_date,from_location,to_location,truck_id,driver_id,temperature_log_c,humidity_pct,reference_doc,is_quarantine,remarks
9815341689,24186368,WH-10,2021-03-22,2021-03-22 23:42:43,Outbound,3.6,138786.42,116889.3,LOT24215524,2022-11-01,RACK-B50,RACK-G36,TRK-059,3083,13.6,43.3,DO244909,No,Routine
1474598885,14723584,WH-02,2023-05-08,2023-05-08 19:45:27,Inbound,46.7,69561.86,344851.41,LOT28157578,2025-03-14,RACK-A50,RACK-G19,TRK-036,3098,-18.8,70.1,DO175619,No,Backorder fill
4461454710,29918724,WH-13,2020-01-05,2020-01-05 21:02:55,Inbound,2.28,12637.57,326474.22,LOT80742748,2020-06-03,RACK-A30,RACK-E23,TRK-009,3011,12.6,89.5,DO110920,No,Overstock
1552773409,85961223,WH-03,2023-10-30,2023-10-30 16:10:36,Inbound,3.22,45968.42,415687.78,LOT19746995,2024-07-17,RACK-B10,RACK-D44,TRK-053,3030,24.1,85.8,DO334887,No,OK
7690343670,23468040,WH-11,2022-06-05,2022-06-05 21:29:46,Transfer,3.3,39949.24,199379.34,LOT27224005,2024-02-13,RACK-B14,RACK-A34,TRK-007,3021,-1.4,63.6,DO430743,No,OK
2672110515,65262089,WH-02,2021-10-26,2021-10-26 23:07:20,Sample,3.33,49662.12,312172.63,LOT16033520,2022-07-24,RACK-B15,RACK-G28,TRK-024,3093,3.7,44.5,DO787669,No,Urgent order
1754817445,53372425,WH-09,2021-11-15,2021-11-15 23:40:04,Outbound,19.09,21791.6,289750.34,LOT94628182,2022-11-15,RACK-H33,RACK-C30,TRK-028,3026,-3.1,46.7,DO688660,No,OK
1764756516,86590987,WH-03,2023-12-22,2023-12-22 01:00:09,Return,115.74,148723.27,5739762.26,LOT50047661,2025-10-10,RACK-H31,RACK-G45,TRK-016,3097,23.8,68.4,DO149165,No,Near expiry
3554054857,35223053,WH-13,2020-09-16,2020-09-16 05:17:56,Outbound,5.61,144228.33,452455.76,LOT27878085,2022-05-12,RACK-C15,RACK-D31,TRK-057,3075,-7.5,80.0,DO397550,No,Urgent order
8388822124,21841933,WH-07,2021-04-14,2021-04-14 08:59:14,Adjustment,122.91,63336.02,1909033.38,LOT88279291,2021-10-19,RACK-A13,RACK-H02,TRK-017,3029,-14.3,88.2,DO139861,No,Routine
9061085577,15748623,WH-02,2024-04-12,2024-04-12 10:47:55,Outbound,51.43,30253.96,5863989.39,LOT18444287,2025-07-17,RACK-B42,RACK-F01,TRK-030,3036,7.4,47.7,DO317413,No,Near expiry
5573337216,52088342,WH-15,2023-01-22,2023-01-22 15:56:29,Outbound,15.73,39079.46,1664517.64,LOT48371226,2024-03-05,RACK-E30,RACK-E19,TRK-015,3051,20.8,74.1,DO583890,No,Routine
3877561563,14652951,WH-11,2023-07-11,2023-07-11 15:11:32,Outbound,39.06,27828.31,1891760.76,LOT60209064,2024-06-23,RACK-C45,RACK-B38,TRK-003,3056,-21.0,58.3,DO255536,No,Near expiry
5168952516,17297945,WH-10,2023-03-28,2023-03-28 05:08:04,Outbound,47.51,49155.33,2659573.24,LOT82659842,2024-11-21,RACK-D35,RACK-B07,TRK-056,3097,-18.5,78.4,DO428934,No,Urgent order
2012530758,64683546,WH-14,2024-10-06,2024-10-06 16:19:02,Inbound,7.48,142589.9,1097674.59,LOT15075855,2025-08-25,RACK-G05,RACK-B33,TRK-003,3031,19.6,40.4,DO762915,No,Near expiry
2074213221,89399835,WH-08,2023-06-14,2023-06-14 03:50:14,Inbound,33.8,54261.16,3794650.47,LOT10834550,2023-11-19,RACK-G13,RACK-F15,TRK-022,3040,5.4,73.4,DO765439,No,Cold chain breach
8712883303,62290460,WH-04,2023-05-26,2023-05-26 15:02:33,Outbound,7.67,65679.64,114222.43,LOT95806850,2023-06-02,RACK-E12,RACK-D30,TRK-058,3105,5.9,53.0,DO886289,No,Near expiry
8554047757,58895901,WH-07,2022-04-28,2022-04-28 06:20:19,Return,0.24,131813.06,25530.7,LOT65889436,2022-05-07,RACK-E01,RACK-E41,TRK-060,3053,-16.0,69.8,DO186408,No,Near expiry
1799308775,93044765,WH-14,2022-06-02,2022-06-02 22:43:49,Inbound,6.1,143602.78,736280.73,LOT92740791,2024-05-27,RACK-G01,RACK-C05,TRK-060,3074,-20.8,44.1,DO675128,Yes,Backorder fill
3633764498,29209117,WH-13,2021-01-27,2021-01-27 15:14:41,Outbound,1.22,59629.19,31747.38,LOT40666307,2021-08-01,RACK-C06,RACK-H35,TRK-013,3120,16.3,58.4,DO600452,No,Overstock
9555713450,13224988,WH-07,2023-08-02,2023-08-02 15:22:32,Inbound,4.68,29008.75,61888.61,LOT45264303,2023-09-20,RACK-A31,RACK-F32,TRK-027,3077,-5.8,89.4,DO456109,No,Routine
7905477436,75107878,WH-06,2023-11-26,2023-11-26 01:16:51,Transfer,81.46,140830.24,3108014.56,LOT13182711,2024-11-27,RACK-E22,RACK-H12,TRK-034,3048,12.3,59.9,DO356120,Yes,Routine
4735759701,97190950,WH-11,2023-01-27,2023-01-27 06:21:51,Inbound,25.7,129372.18,3125979.34,LOT19912518,2024-05-26,RACK-G13,RACK-C24,TRK-046,3019,-4.6,54.6,DO323164,No,Near expiry
9152102070,77697064,WH-02,2020-03-18,2020-03-18 16:47:09,Outbound,77.92,91222.79,3960840.89,LOT93157071,2021-02-12,RACK-A40,RACK-H28,TRK-006,3105,-8.6,68.1,DO277946,No,Near expiry
3866564904,69547560,WH-12,2023-03-27,2023-03-27 12:24:02,Return,129.96,34063.7,17779906.88,LOT99511580,2025-02-22,RACK-A36,RACK-D47,TRK-042,3050,21.5,50.0,DO385741,No,Routine
8360343962,70871082,WH-03,2022-10-13,2022-10-13 05:09:54,Inbound,56.94,29791.71,4052140.83,LOT46860189,2023-11-30,RACK-H03,RACK-G20,TRK-052,3042,22.6,87.6,DO748327,No,Cold chain breach
6528911716,30298666,WH-05,2022-12-07,2022-12-07 04:55:39,Outbound,31.59,44883.84,3565963.33,LOT62709376,2024-01-09,RACK-D29,RACK-D41,TRK-028,3085,19.5,70.0,DO703926,No,Backorder fill
7607405579,81883180,WH-15,2024-11-01,2024-11-01 15:28:39,Scrap,33.14,81039.0,902257.8,LOT50741747,2025-02-28,RACK-F29,RACK-C30,TRK-024,3090,-18.1,49.4,DO789277,No,Backorder fill
9449160796,78825514,WH-02,2023-11-28,2023-11-28 22:56:16,Adjustment,68.71,139586.97,10148461.51,LOT42093292,2024-03-06,RACK-D30,RACK-G12,TRK-042,3019,-14.4,82.8,DO427803,No,Urgent order
9890493535,80790574,WH-01,2023-07-29,2023-07-29 11:57:14,Inbound,19.81,7424.93,1535867.47,LOT62137375,2023-09-08,RACK-G01,RACK-A46,TRK-044,3014,17.5,51.7,DO508750,No,Cold chain breach
