customer_id,customer_code,company_name,segment,tier,city,province,registration_date,credit_limit_idr,payment_terms_days,is_active,sales_rep_id,annual_revenue_idr,preferred_delivery,cold_chain_required,tax_id,contact_phone,email_domain,last_order_date,notes
51773441,CUST865887,UD Jaya Persada,Traditional Trade,Silver,Medan,DIY,2014-10-07,28180000.0,60,Yes,5027,631600000.0,Monthly,Yes,27885539316671,08891218232,outlook.com,2024-05-05,Growth potential
21397513,CUST459596,Toko Segar Sentosa,HoReCa,New,Jakarta,Jawa Timur,2021-11-25,18810000.0,45,Yes,5062,8532800000.0,2-3 Days,Yes,58535620090116,081078662407,company.co.id,2023-07-01,VIP
36831247,CUST561115,CV Sejahtera Utama,E-Commerce,Bronze,Denpasar,Sumatera Utara,2013-02-01,101180000.0,30,Yes,5010,124000000.0,Weekly,Yes,90201456913320,084054199120,company.co.id,2024-09-28,Seasonal buyer
79855649,CUST208182,Toko Sejahtera Murni,Distributor,Bronze,Jakarta,Sumatera Selatan,2023-04-05,54560000.0,21,Yes,5080,53000000.0,2-3 Days,No,75904616606283,088752553470,business.id,2022-05-31,Key account
63504419,CUST429857,Toko Lestari Indonesia,HoReCa,Gold,Bandung,Sulawesi Selatan,2021-10-27,14790000.0,21,Yes,5043,139100000.0,Fortnightly,Yes,59436275726085,081448669667,company.co.id,2022-01-10,Loyal customer
24510505,CUST480496,CV Segar Pratama,Modern Trade,Bronze,Jakarta,DKI Jakarta,2023-11-11,5140000.0,60,Yes,5021,627800000.0,Fortnightly,Yes,54595144789424,082819395549,outlook.com,2023-05-08,Key account
57344043,CUST450721,PT Abadi Persada,Distributor,Gold,Medan,Jawa Timur,2016-10-18,12270000.0,0,No,5011,1097700000.0,Next Day,No,76952217354314,082132747080,gmail.com,2022-12-08,Slow payer
69795887,CUST240504,CV Sejahtera Murni,Modern Trade,Bronze,Bandung,DIY,2022-07-24,33470000.0,30,Yes,5049,202800000.0,2-3 Days,Yes,69354442502952,087505836211,outlook.com,2023-12-21,Loyal customer
47546415,CUST271063,Toko Makmur Utama,Distributor,Bronze,Jakarta,Jawa Timur,2012-11-22,5120000.0,30,Yes,5071,1100100000.0,Weekly,Yes,16951949971285,08982778951,yahoo.com,2023-03-02,Key account
76120113,CUST767082,UD Lestari Indonesia,HoReCa,Silver,Jakarta,Jawa Timur,2010-05-15,31550000.0,90,Yes,5074,530800000.0,Next Day,Yes,86938118394860,088115732609,business.id,2024-08-21,Loyal customer
