order_id,customer_id,order_date,delivery_date,channel,status,product_sku,quantity_ordered,quantity_delivered,unit_price_idr,discount_pct,gross_value_idr,net_value_idr,tax_idr,warehouse_dispatch,vehicle_id,invoice_number,payment_status,sales_rep_id,remarks
9299742196,86499840,2024-01-02,2024-01-15,Distributor,Delivered,SKU183663,10.0,10.0,11246.35,10.0,112463.5,101217.15,11133.89,WH-02,VH-031,INV7088854,Paid,5008,Complaint logged
7682792865,97519106,2024-04-24,2024-05-04,Distributor,Processing,SKU203052,0.0,0,6501.27,15.0,0.0,0.0,0.0,WH-02,VH-044,INV6316133,Paid,5062,Credit hold
2280053317,57367045,2024-01-27,2024-01-28,Direct Sales,Processing,SKU178888,12.0,11.0,14017.83,5.0,168213.96,159803.26,17578.36,WH-13,VH-072,INV2895534,Paid,5059,Credit hold
4788642905,68975111,2020-04-10,2020-04-12,Direct Sales,Delivered,SKU740646,1.0,1.0,21441.17,0,21441.17,21441.17,2358.53,WH-12,VH-060,INV8674093,Unpaid,5026,Late delivery
9064181728,52249607,2022-02-15,2022-02-21,Direct Sales,Delivered,SKU397737,3.0,3.0,7174.16,0,21522.48,21522.48,2367.47,WH-01,VH-050,INV4456827,Paid,5080,On time
3542991983,91385863,2020-11-30,2020-12-04,Direct Sales,Delivered,SKU945406,17.0,15.0,4740.64,0,80590.88,80590.88,8865.0,WH-13,VH-008,INV1198281,Overdue,5051,Complaint logged
3182540944,29031431,2020-07-10,2020-07-17,Walk-in,Cancelled,SKU123478,2.0,2.0,18184.76,5.0,36369.52,34551.04,3800.61,WH-05,VH-014,INV9201418,Paid,5012,Promotional
3789916403,20147211,2022-05-13,2022-05-25,Online,Delivered,SKU596287,3.0,3.0,70264.26,0,210792.78,210792.78,23187.21,WH-05,VH-063,INV2833309,Paid,5069,Rush order
3995644738,60876811,2024-10-21,2024-11-01,Distributor,Processing,SKU381539,2.0,2.0,200161.56,5.0,400323.12,380306.96,41833.77,WH-07,VH-003,INV7565559,Paid,5013,Price negotiated
5047058215,10824205,2022-04-29,2022-05-09,Online,On Hold,SKU105946,0.0,0,627.44,0,0.0,0.0,0.0,WH-05,VH-008,INV7979212,Unpaid,5064,Late delivery
6476016649,28520456,2021-06-30,2021-07-10,Online,Delivered,SKU206195,6.0,6.0,802.82,0,4816.92,4816.92,529.86,WH-02,VH-011,INV7349510,Paid,5010,Promotional
3053658478,86691855,2023-12-31,2024-01-05,Online,Delivered,SKU363638,1.0,1.0,28379.56,0,28379.56,28379.56,3121.75,WH-02,VH-066,INV6499595,Overdue,5020,Complaint logged
2703821016,98072591,2024-05-17,2024-05-22,Direct Sales,Delivered,SKU954481,30.0,29.0,36229.65,20.0,1086889.5,869511.6,95646.28,WH-04,VH-071,INV3066233,Paid,5071,Price negotiated
2014045117,35677713,2023-03-28,2023-04-04,Online,Cancelled,SKU894182,2.0,2.0,53922.9,0,107845.8,107845.8,11863.04,WH-13,VH-022,INV4299500,Paid,5017,Back-order
3595389515,96118802,2021-08-01,2021-08-12,Direct Sales,Partial,SKU439421,3.0,3.0,14925.02,0,44775.06,44775.06,4925.26,WH-13,VH-033,INV7812832,Paid,5050,Rush order
9870492693,50713615,2021-08-19,2021-08-25,Direct Sales,Invoiced,SKU852941,3.0,3.0,22155.22,15.0,66465.66,56495.81,6214.54,WH-10,VH-022,INV4352540,Partial,5049,Promotional
5295361170,36604439,2021-08-30,2021-09-08,Marketplace,Delivered,SKU529822,24.0,23.0,38413.79,0,921930.96,921930.96,101412.41,WH-01,VH-001,INV4540865,Partial,5056,Standard
8785828930,68020249,2023-11-23,2023-11-30,EDI,Delivered,SKU273070,14.0,14.0,12817.13,0,179439.82,179439.82,19738.38,WH-15,VH-049,INV7196104,Unpaid,5006,Credit hold
